match_id,t1_xi_bat_avg,t2_xi_bat_avg,t1_xi_bat_sr,t2_xi_bat_sr,t1_xi_bowl_wpm,t2_xi_bowl_wpm,t1_xi_bowl_er,t2_xi_bowl_er,xi_bat_diff,xi_sr_diff,xi_bowl_diff,xi_er_diff
1359542,23.69166666666667,26.707142857142856,143.87406623065291,145.81035940632538,1.2026785714285715,1.0625,7.484180730658457,8.253459297149979,-3.0154761904761855,-1.9362931756724606,0.14017857142857149,0.769278566491522
1359543,22.85,30.0,143.74796366027425,158.27090307894116,0.9357142857142858,1.3458333333333332,8.994257222614602,8.483889154123961,-7.149999999999999,-14.522939418666908,-0.4101190476190474,-0.5103680684906404
1359544,30.3,30.15,142.27506890530495,167.36851973460747,1.4479166666666667,1.71875,8.218369222689075,7.520951394912031,0.15000000000000213,-25.093450829302526,-0.27083333333333326,-0.697417827777044
1370350,34.525,31.525,151.36065739164331,171.37280526686968,1.4821428571428572,1.625,7.707625642237052,7.828648988058902,3.0,-20.01214787522636,-0.1428571428571428,0.12102334582184948
1370351,31.9,25.525,162.58520155750253,145.0189423702803,1.3020833333333333,1.1979166666666667,8.885094883739075,7.37753700610386,6.375,17.566259187222215,0.10416666666666652,-1.5075578776352154
1370352,33.00833333333333,32.55,164.05390243727044,160.4503769656042,1.5625,1.3973214285714286,7.759329281628049,8.019797195945733,0.4583333333333357,3.603525471666245,0.1651785714285714,0.260467914317684
1370353,35.75,32.525,166.1750046908716,147.36815624845593,1.75,1.53125,7.750870932004657,7.665978990689197,3.2250000000000014,18.806848442415657,0.21875,-0.08489194131546007
1422119,32.1,23.675,148.26716204357385,145.81294207143225,0.9687499999999999,1.1875,8.134921021274122,8.223951312035615,8.425,2.454219972141601,-0.2187500000000001,0.08903029076149238
1422120,15.075,25.95,112.64388933860899,146.12751269939835,1.15625,1.1354166666666667,7.515823549930529,8.608535635446184,-10.875,-33.483623360789366,0.02083333333333326,1.0927120855156556
1422121,26.625,28.125,140.3324766749561,142.81842462566448,0.96875,1.28125,8.092424242424244,8.482030266178452,-1.5,-2.485947950708379,-0.3125,0.38960602375420805
